
Experimental details:
    Model     : cnn
    Optimizer : sgd
    Learning  : 0.01
    Global Rounds   : 10

    Federated parameters:
    IID
    Fraction of users  : 0.04
    Local Batch size   : 4
    Local Epochs       : 5

train labeled data:
No such file: a8_s1_t4
No such file: a8_s1_t4
(416, 120, 6)
(416, 40, 20, 3)
(416,)
test data:
No such file: a23_s6_t4
No such file: a23_s6_t4
(215, 120, 6)
(215, 40, 20, 3)
(215,)
unlabeled data:
No such file: a27_s8_t4
No such file: a27_s8_t4
(215, 120, 6)
(215, 40, 20, 3)
(215,)

 | Global Training Round : 1 |

/home/shayulong/miniconda3/envs/fl/lib/python3.8/site-packages/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: libtorch_cuda_cu.so: cannot open shared object file: No such file or directory
  warn(f"Failed to load image Python extension: {e}")
/home/shayulong/miniconda3/envs/fl/lib/python3.8/site-packages/transformers/utils/generic.py:441: UserWarning: torch.utils._pytree._register_pytree_node is deprecated. Please use torch.utils._pytree.register_pytree_node instead.
  _torch_pytree._register_pytree_node(
/home/shayulong/miniconda3/envs/fl/lib/python3.8/site-packages/transformers/utils/generic.py:309: UserWarning: torch.utils._pytree._register_pytree_node is deprecated. Please use torch.utils._pytree.register_pytree_node instead.
  _torch_pytree._register_pytree_node(
/home/shayulong/miniconda3/envs/fl/lib/python3.8/site-packages/torch/cuda/__init__.py:619: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")
| Global Round : 0 | User: 0 | Local Epoch : 0 | Loss: 3.145 | Acc: 0.125
| Global Round : 0 | User: 7 | Local Epoch : 3 | Loss: 1.999 | Acc: 0.375
| Global Round : 0 | User: 7 | Local Epoch : 4 | Loss: 2.080 | Acc: 0.500
| Global Round : 0 | User: 8 | Local Epoch : 0 | Loss: 2.720 | Acc: 0.375
| Global Round : 0 | User: 8 | Local Epoch : 1 | Loss: 2.549 | Acc: 0.250
| Global Round : 0 | User: 8 | Local Epoch : 2 | Loss: 2.229 | Acc: 0.125
| Global Round : 0 | User: 8 | Local Epoch : 3 | Loss: 2.178 | Acc: 0.125
| Global Round : 0 | User: 8 | Local Epoch : 4 | Loss: 2.458 | Acc: 0.250
| Global Round : 0 | User: 9 | Local Epoch : 0 | Loss: 2.925 | Acc: 0.375
| Global Round : 0 | User: 9 | Local Epoch : 1 | Loss: 2.363 | Acc: 0.250
| Global Round : 0 | User: 9 | Local Epoch : 2 | Loss: 2.085 | Acc: 0.375
| Global Round : 0 | User: 9 | Local Epoch : 3 | Loss: 1.929 | Acc: 0.500
| Global Round : 0 | User: 9 | Local Epoch : 4 | Loss: 1.928 | Acc: 0.250

 | Global Training Round : 2 |

| Global Round : 1 | User: 0 | Local Epoch : 0 | Loss: 0.737 | Acc: 0.875
| Global Round : 1 | User: 0 | Local Epoch : 1 | Loss: 1.137 | Acc: 0.750
| Global Round : 1 | User: 0 | Local Epoch : 2 | Loss: 1.147 | Acc: 0.875
| Global Round : 1 | User: 0 | Local Epoch : 3 | Loss: 1.070 | Acc: 0.750
| Global Round : 1 | User: 0 | Local Epoch : 4 | Loss: 0.349 | Acc: 0.875
| Global Round : 1 | User: 1 | Local Epoch : 0 | Loss: 1.348 | Acc: 0.375
| Global Round : 1 | User: 1 | Local Epoch : 1 | Loss: 1.227 | Acc: 0.625
| Global Round : 1 | User: 1 | Local Epoch : 2 | Loss: 0.957 | Acc: 0.875
| Global Round : 1 | User: 1 | Local Epoch : 3 | Loss: 1.397 | Acc: 0.375
| Global Round : 1 | User: 1 | Local Epoch : 4 | Loss: 1.166 | Acc: 0.625
| Global Round : 1 | User: 2 | Local Epoch : 0 | Loss: 1.481 | Acc: 0.750
| Global Round : 1 | User: 2 | Local Epoch : 1 | Loss: 0.913 | Acc: 0.750
| Global Round : 1 | User: 2 | Local Epoch : 2 | Loss: 1.238 | Acc: 0.750
| Global Round : 1 | User: 2 | Local Epoch : 3 | Loss: 0.802 | Acc: 0.750
| Global Round : 1 | User: 2 | Local Epoch : 4 | Loss: 0.664 | Acc: 0.875
| Global Round : 1 | User: 3 | Local Epoch : 0 | Loss: 1.650 | Acc: 0.500
| Global Round : 1 | User: 3 | Local Epoch : 1 | Loss: 1.119 | Acc: 0.500
| Global Round : 1 | User: 3 | Local Epoch : 2 | Loss: 1.267 | Acc: 0.625
| Global Round : 1 | User: 3 | Local Epoch : 3 | Loss: 0.709 | Acc: 0.875
| Global Round : 1 | User: 3 | Local Epoch : 4 | Loss: 1.284 | Acc: 0.375
| Global Round : 1 | User: 4 | Local Epoch : 0 | Loss: 1.193 | Acc: 0.750
| Global Round : 1 | User: 4 | Local Epoch : 1 | Loss: 1.251 | Acc: 0.500
| Global Round : 1 | User: 4 | Local Epoch : 2 | Loss: 0.843 | Acc: 0.625
| Global Round : 1 | User: 4 | Local Epoch : 3 | Loss: 1.123 | Acc: 0.750
| Global Round : 1 | User: 4 | Local Epoch : 4 | Loss: 0.792 | Acc: 0.625
| Global Round : 1 | User: 5 | Local Epoch : 0 | Loss: 1.826 | Acc: 0.375
| Global Round : 1 | User: 5 | Local Epoch : 1 | Loss: 1.809 | Acc: 0.375
| Global Round : 1 | User: 5 | Local Epoch : 2 | Loss: 1.143 | Acc: 0.500
| Global Round : 1 | User: 5 | Local Epoch : 3 | Loss: 1.417 | Acc: 0.500
| Global Round : 1 | User: 5 | Local Epoch : 4 | Loss: 1.362 | Acc: 0.375
| Global Round : 1 | User: 6 | Local Epoch : 0 | Loss: 2.291 | Acc: 0.250
| Global Round : 1 | User: 6 | Local Epoch : 1 | Loss: 1.419 | Acc: 0.500
| Global Round : 1 | User: 6 | Local Epoch : 2 | Loss: 1.904 | Acc: 0.375
| Global Round : 1 | User: 6 | Local Epoch : 3 | Loss: 0.864 | Acc: 0.875
| Global Round : 1 | User: 6 | Local Epoch : 4 | Loss: 1.036 | Acc: 0.875
| Global Round : 1 | User: 7 | Local Epoch : 0 | Loss: 1.169 | Acc: 0.500
| Global Round : 1 | User: 7 | Local Epoch : 1 | Loss: 1.541 | Acc: 0.500
| Global Round : 1 | User: 7 | Local Epoch : 2 | Loss: 1.037 | Acc: 0.625
| Global Round : 1 | User: 7 | Local Epoch : 3 | Loss: 1.448 | Acc: 0.375
| Global Round : 1 | User: 7 | Local Epoch : 4 | Loss: 0.963 | Acc: 0.625
| Global Round : 1 | User: 8 | Local Epoch : 0 | Loss: 1.113 | Acc: 0.875
| Global Round : 1 | User: 8 | Local Epoch : 1 | Loss: 1.468 | Acc: 0.625
| Global Round : 1 | User: 8 | Local Epoch : 2 | Loss: 1.423 | Acc: 0.625
| Global Round : 1 | User: 8 | Local Epoch : 3 | Loss: 1.892 | Acc: 0.125
| Global Round : 1 | User: 8 | Local Epoch : 4 | Loss: 0.748 | Acc: 0.625
| Global Round : 1 | User: 9 | Local Epoch : 0 | Loss: 1.834 | Acc: 0.375
| Global Round : 1 | User: 9 | Local Epoch : 1 | Loss: 1.444 | Acc: 0.625
| Global Round : 1 | User: 9 | Local Epoch : 2 | Loss: 1.998 | Acc: 0.250
| Global Round : 1 | User: 9 | Local Epoch : 3 | Loss: 1.615 | Acc: 0.500
| Global Round : 1 | User: 9 | Local Epoch : 4 | Loss: 0.686 | Acc: 0.875

 | Global Training Round : 3 |

| Global Round : 2 | User: 0 | Local Epoch : 0 | Loss: 0.486 | Acc: 0.875
| Global Round : 2 | User: 0 | Local Epoch : 1 | Loss: 0.430 | Acc: 0.750
| Global Round : 2 | User: 0 | Local Epoch : 2 | Loss: 0.710 | Acc: 0.625
| Global Round : 2 | User: 0 | Local Epoch : 3 | Loss: 0.473 | Acc: 0.875
| Global Round : 2 | User: 0 | Local Epoch : 4 | Loss: 0.857 | Acc: 0.750
| Global Round : 2 | User: 1 | Local Epoch : 0 | Loss: 0.920 | Acc: 0.750
| Global Round : 2 | User: 1 | Local Epoch : 1 | Loss: 0.696 | Acc: 0.875
| Global Round : 2 | User: 1 | Local Epoch : 2 | Loss: 0.695 | Acc: 0.750
| Global Round : 2 | User: 1 | Local Epoch : 3 | Loss: 0.428 | Acc: 0.875
| Global Round : 2 | User: 1 | Local Epoch : 4 | Loss: 0.780 | Acc: 0.875
| Global Round : 2 | User: 2 | Local Epoch : 0 | Loss: 0.443 | Acc: 0.875
| Global Round : 2 | User: 2 | Local Epoch : 1 | Loss: 1.218 | Acc: 0.500
| Global Round : 2 | User: 2 | Local Epoch : 2 | Loss: 0.353 | Acc: 1.000
| Global Round : 2 | User: 2 | Local Epoch : 3 | Loss: 0.284 | Acc: 1.000
| Global Round : 2 | User: 2 | Local Epoch : 4 | Loss: 0.867 | Acc: 0.625
| Global Round : 2 | User: 3 | Local Epoch : 0 | Loss: 0.294 | Acc: 1.000
| Global Round : 2 | User: 3 | Local Epoch : 1 | Loss: 0.964 | Acc: 0.875
| Global Round : 2 | User: 3 | Local Epoch : 2 | Loss: 0.551 | Acc: 0.750
| Global Round : 2 | User: 3 | Local Epoch : 3 | Loss: 0.935 | Acc: 0.750
| Global Round : 2 | User: 3 | Local Epoch : 4 | Loss: 0.699 | Acc: 0.875
| Global Round : 2 | User: 4 | Local Epoch : 0 | Loss: 0.847 | Acc: 0.750
| Global Round : 2 | User: 4 | Local Epoch : 1 | Loss: 1.330 | Acc: 0.500
| Global Round : 2 | User: 4 | Local Epoch : 2 | Loss: 0.233 | Acc: 1.000
| Global Round : 2 | User: 4 | Local Epoch : 3 | Loss: 0.936 | Acc: 0.750
| Global Round : 2 | User: 4 | Local Epoch : 4 | Loss: 0.455 | Acc: 0.750
| Global Round : 2 | User: 5 | Local Epoch : 0 | Loss: 0.908 | Acc: 0.750
| Global Round : 2 | User: 5 | Local Epoch : 1 | Loss: 0.906 | Acc: 0.750
| Global Round : 2 | User: 5 | Local Epoch : 2 | Loss: 1.240 | Acc: 0.625
| Global Round : 2 | User: 5 | Local Epoch : 3 | Loss: 0.974 | Acc: 0.750
| Global Round : 2 | User: 5 | Local Epoch : 4 | Loss: 1.419 | Acc: 0.625
| Global Round : 2 | User: 6 | Local Epoch : 0 | Loss: 0.732 | Acc: 0.875
| Global Round : 2 | User: 6 | Local Epoch : 1 | Loss: 1.204 | Acc: 0.750
| Global Round : 2 | User: 6 | Local Epoch : 2 | Loss: 2.253 | Acc: 0.375
| Global Round : 2 | User: 6 | Local Epoch : 3 | Loss: 1.513 | Acc: 0.500
| Global Round : 2 | User: 6 | Local Epoch : 4 | Loss: 1.138 | Acc: 0.875
| Global Round : 2 | User: 7 | Local Epoch : 0 | Loss: 0.832 | Acc: 0.875
| Global Round : 2 | User: 7 | Local Epoch : 1 | Loss: 1.068 | Acc: 0.500
| Global Round : 2 | User: 7 | Local Epoch : 2 | Loss: 1.075 | Acc: 0.625
| Global Round : 2 | User: 7 | Local Epoch : 3 | Loss: 0.848 | Acc: 0.750
| Global Round : 2 | User: 7 | Local Epoch : 4 | Loss: 1.140 | Acc: 0.625
| Global Round : 2 | User: 8 | Local Epoch : 0 | Loss: 0.732 | Acc: 0.875
| Global Round : 2 | User: 8 | Local Epoch : 1 | Loss: 0.798 | Acc: 0.625
| Global Round : 2 | User: 8 | Local Epoch : 2 | Loss: 0.906 | Acc: 0.625
| Global Round : 2 | User: 8 | Local Epoch : 3 | Loss: 0.665 | Acc: 0.875
| Global Round : 2 | User: 8 | Local Epoch : 4 | Loss: 0.599 | Acc: 0.875
| Global Round : 2 | User: 9 | Local Epoch : 0 | Loss: 1.222 | Acc: 0.500
| Global Round : 2 | User: 9 | Local Epoch : 1 | Loss: 1.234 | Acc: 0.500
| Global Round : 2 | User: 9 | Local Epoch : 2 | Loss: 1.009 | Acc: 0.625
| Global Round : 2 | User: 9 | Local Epoch : 3 | Loss: 1.671 | Acc: 0.500
| Global Round : 2 | User: 9 | Local Epoch : 4 | Loss: 1.238 | Acc: 0.500

 | Global Training Round : 4 |

| Global Round : 3 | User: 0 | Local Epoch : 0 | Loss: 0.127 | Acc: 1.000
| Global Round : 3 | User: 0 | Local Epoch : 1 | Loss: 0.221 | Acc: 1.000
| Global Round : 3 | User: 0 | Local Epoch : 2 | Loss: 0.061 | Acc: 1.000
| Global Round : 3 | User: 0 | Local Epoch : 3 | Loss: 0.277 | Acc: 0.875
| Global Round : 3 | User: 0 | Local Epoch : 4 | Loss: 0.518 | Acc: 0.875
| Global Round : 3 | User: 1 | Local Epoch : 0 | Loss: 0.655 | Acc: 0.750
| Global Round : 3 | User: 1 | Local Epoch : 1 | Loss: 0.438 | Acc: 1.000
| Global Round : 3 | User: 1 | Local Epoch : 2 | Loss: 0.316 | Acc: 1.000
| Global Round : 3 | User: 1 | Local Epoch : 3 | Loss: 0.506 | Acc: 0.875
| Global Round : 3 | User: 1 | Local Epoch : 4 | Loss: 0.240 | Acc: 1.000
| Global Round : 3 | User: 2 | Local Epoch : 0 | Loss: 0.301 | Acc: 1.000
| Global Round : 3 | User: 2 | Local Epoch : 1 | Loss: 0.162 | Acc: 1.000
| Global Round : 3 | User: 2 | Local Epoch : 2 | Loss: 0.320 | Acc: 1.000
| Global Round : 3 | User: 2 | Local Epoch : 3 | Loss: 0.276 | Acc: 1.000
| Global Round : 3 | User: 2 | Local Epoch : 4 | Loss: 1.299 | Acc: 0.375
| Global Round : 3 | User: 3 | Local Epoch : 0 | Loss: 0.198 | Acc: 1.000
| Global Round : 3 | User: 3 | Local Epoch : 1 | Loss: 0.584 | Acc: 0.875
| Global Round : 3 | User: 3 | Local Epoch : 2 | Loss: 0.260 | Acc: 0.875
| Global Round : 3 | User: 3 | Local Epoch : 3 | Loss: 0.208 | Acc: 1.000
| Global Round : 3 | User: 3 | Local Epoch : 4 | Loss: 0.646 | Acc: 0.750
| Global Round : 3 | User: 4 | Local Epoch : 0 | Loss: 0.221 | Acc: 1.000
| Global Round : 3 | User: 4 | Local Epoch : 1 | Loss: 0.463 | Acc: 0.875
| Global Round : 3 | User: 4 | Local Epoch : 2 | Loss: 0.425 | Acc: 0.875
| Global Round : 3 | User: 4 | Local Epoch : 3 | Loss: 0.495 | Acc: 0.875
| Global Round : 3 | User: 4 | Local Epoch : 4 | Loss: 0.106 | Acc: 1.000
| Global Round : 3 | User: 5 | Local Epoch : 0 | Loss: 0.955 | Acc: 0.875
| Global Round : 3 | User: 5 | Local Epoch : 1 | Loss: 0.909 | Acc: 0.625
| Global Round : 3 | User: 5 | Local Epoch : 2 | Loss: 0.537 | Acc: 0.875
| Global Round : 3 | User: 5 | Local Epoch : 3 | Loss: 1.204 | Acc: 0.750
| Global Round : 3 | User: 5 | Local Epoch : 4 | Loss: 0.386 | Acc: 1.000
| Global Round : 3 | User: 6 | Local Epoch : 0 | Loss: 0.646 | Acc: 0.875
| Global Round : 3 | User: 6 | Local Epoch : 1 | Loss: 1.105 | Acc: 0.625
| Global Round : 3 | User: 6 | Local Epoch : 2 | Loss: 1.254 | Acc: 0.375
| Global Round : 3 | User: 6 | Local Epoch : 3 | Loss: 0.910 | Acc: 0.750
| Global Round : 3 | User: 6 | Local Epoch : 4 | Loss: 1.239 | Acc: 0.625
| Global Round : 3 | User: 7 | Local Epoch : 0 | Loss: 0.709 | Acc: 0.875
| Global Round : 3 | User: 7 | Local Epoch : 1 | Loss: 0.975 | Acc: 0.875
| Global Round : 3 | User: 7 | Local Epoch : 2 | Loss: 0.680 | Acc: 0.625
| Global Round : 3 | User: 7 | Local Epoch : 3 | Loss: 0.630 | Acc: 0.750
| Global Round : 3 | User: 7 | Local Epoch : 4 | Loss: 1.448 | Acc: 0.625
| Global Round : 3 | User: 8 | Local Epoch : 0 | Loss: 1.361 | Acc: 0.500
| Global Round : 3 | User: 8 | Local Epoch : 1 | Loss: 0.676 | Acc: 1.000
| Global Round : 3 | User: 8 | Local Epoch : 2 | Loss: 1.932 | Acc: 0.500
| Global Round : 3 | User: 8 | Local Epoch : 3 | Loss: 0.941 | Acc: 0.750
| Global Round : 3 | User: 8 | Local Epoch : 4 | Loss: 0.909 | Acc: 0.500
| Global Round : 3 | User: 9 | Local Epoch : 0 | Loss: 0.691 | Acc: 0.875
| Global Round : 3 | User: 9 | Local Epoch : 1 | Loss: 0.886 | Acc: 0.750
| Global Round : 3 | User: 9 | Local Epoch : 2 | Loss: 0.901 | Acc: 0.625
| Global Round : 3 | User: 9 | Local Epoch : 3 | Loss: 0.666 | Acc: 0.750
| Global Round : 3 | User: 9 | Local Epoch : 4 | Loss: 0.325 | Acc: 1.000

 | Global Training Round : 5 |

| Global Round : 4 | User: 0 | Local Epoch : 0 | Loss: 0.184 | Acc: 1.000
| Global Round : 4 | User: 0 | Local Epoch : 1 | Loss: 0.164 | Acc: 1.000
| Global Round : 4 | User: 0 | Local Epoch : 2 | Loss: 0.271 | Acc: 0.875
| Global Round : 4 | User: 0 | Local Epoch : 3 | Loss: 0.226 | Acc: 1.000
| Global Round : 4 | User: 0 | Local Epoch : 4 | Loss: 0.100 | Acc: 1.000
| Global Round : 4 | User: 1 | Local Epoch : 0 | Loss: 0.301 | Acc: 1.000
| Global Round : 4 | User: 1 | Local Epoch : 1 | Loss: 0.284 | Acc: 0.875
| Global Round : 4 | User: 1 | Local Epoch : 2 | Loss: 0.058 | Acc: 1.000
| Global Round : 4 | User: 1 | Local Epoch : 3 | Loss: 0.219 | Acc: 1.000
| Global Round : 4 | User: 1 | Local Epoch : 4 | Loss: 0.047 | Acc: 1.000
| Global Round : 4 | User: 2 | Local Epoch : 0 | Loss: 0.212 | Acc: 1.000
| Global Round : 4 | User: 2 | Local Epoch : 1 | Loss: 0.126 | Acc: 1.000
| Global Round : 4 | User: 2 | Local Epoch : 2 | Loss: 0.092 | Acc: 1.000
| Global Round : 4 | User: 2 | Local Epoch : 3 | Loss: 0.140 | Acc: 1.000
| Global Round : 4 | User: 2 | Local Epoch : 4 | Loss: 0.109 | Acc: 1.000
| Global Round : 4 | User: 3 | Local Epoch : 0 | Loss: 0.348 | Acc: 1.000
| Global Round : 4 | User: 3 | Local Epoch : 1 | Loss: 0.292 | Acc: 1.000
| Global Round : 4 | User: 3 | Local Epoch : 2 | Loss: 0.689 | Acc: 0.750
| Global Round : 4 | User: 3 | Local Epoch : 3 | Loss: 0.395 | Acc: 0.875
| Global Round : 4 | User: 3 | Local Epoch : 4 | Loss: 0.272 | Acc: 0.875
| Global Round : 4 | User: 4 | Local Epoch : 0 | Loss: 0.662 | Acc: 0.625
| Global Round : 4 | User: 4 | Local Epoch : 1 | Loss: 0.220 | Acc: 0.875
| Global Round : 4 | User: 4 | Local Epoch : 2 | Loss: 0.283 | Acc: 1.000
| Global Round : 4 | User: 4 | Local Epoch : 3 | Loss: 0.399 | Acc: 1.000
| Global Round : 4 | User: 4 | Local Epoch : 4 | Loss: 0.118 | Acc: 1.000
| Global Round : 4 | User: 5 | Local Epoch : 0 | Loss: 0.614 | Acc: 0.875
| Global Round : 4 | User: 5 | Local Epoch : 1 | Loss: 0.751 | Acc: 0.750
| Global Round : 4 | User: 5 | Local Epoch : 2 | Loss: 1.451 | Acc: 0.625
| Global Round : 4 | User: 5 | Local Epoch : 3 | Loss: 0.832 | Acc: 0.750
| Global Round : 4 | User: 5 | Local Epoch : 4 | Loss: 0.662 | Acc: 0.750
| Global Round : 4 | User: 6 | Local Epoch : 0 | Loss: 1.099 | Acc: 0.500
| Global Round : 4 | User: 6 | Local Epoch : 1 | Loss: 0.350 | Acc: 0.875
| Global Round : 4 | User: 6 | Local Epoch : 2 | Loss: 0.279 | Acc: 1.000
| Global Round : 4 | User: 6 | Local Epoch : 3 | Loss: 0.665 | Acc: 0.875
| Global Round : 4 | User: 6 | Local Epoch : 4 | Loss: 0.743 | Acc: 0.500
| Global Round : 4 | User: 7 | Local Epoch : 0 | Loss: 0.270 | Acc: 1.000
| Global Round : 4 | User: 7 | Local Epoch : 1 | Loss: 0.706 | Acc: 0.500
| Global Round : 4 | User: 7 | Local Epoch : 2 | Loss: 0.381 | Acc: 0.875
| Global Round : 4 | User: 7 | Local Epoch : 3 | Loss: 0.863 | Acc: 0.625
| Global Round : 4 | User: 7 | Local Epoch : 4 | Loss: 0.348 | Acc: 0.875
| Global Round : 4 | User: 8 | Local Epoch : 0 | Loss: 0.665 | Acc: 0.750
| Global Round : 4 | User: 8 | Local Epoch : 1 | Loss: 0.794 | Acc: 0.875
| Global Round : 4 | User: 8 | Local Epoch : 2 | Loss: 1.412 | Acc: 0.500
| Global Round : 4 | User: 8 | Local Epoch : 3 | Loss: 0.167 | Acc: 1.000
| Global Round : 4 | User: 8 | Local Epoch : 4 | Loss: 0.402 | Acc: 0.750
| Global Round : 4 | User: 9 | Local Epoch : 0 | Loss: 1.196 | Acc: 0.500
| Global Round : 4 | User: 9 | Local Epoch : 1 | Loss: 0.455 | Acc: 1.000
| Global Round : 4 | User: 9 | Local Epoch : 2 | Loss: 0.670 | Acc: 0.750
| Global Round : 4 | User: 9 | Local Epoch : 3 | Loss: 0.392 | Acc: 0.750
| Global Round : 4 | User: 9 | Local Epoch : 4 | Loss: 0.833 | Acc: 0.625

 | Global Training Round : 6 |

| Global Round : 5 | User: 0 | Local Epoch : 0 | Loss: 0.118 | Acc: 1.000
| Global Round : 5 | User: 0 | Local Epoch : 1 | Loss: 0.055 | Acc: 1.000
| Global Round : 5 | User: 0 | Local Epoch : 2 | Loss: 0.032 | Acc: 1.000
| Global Round : 5 | User: 0 | Local Epoch : 3 | Loss: 0.605 | Acc: 0.875
| Global Round : 5 | User: 0 | Local Epoch : 4 | Loss: 0.040 | Acc: 1.000
| Global Round : 5 | User: 1 | Local Epoch : 0 | Loss: 0.115 | Acc: 1.000
| Global Round : 5 | User: 1 | Local Epoch : 1 | Loss: 0.034 | Acc: 1.000
| Global Round : 5 | User: 1 | Local Epoch : 2 | Loss: 0.317 | Acc: 0.875
| Global Round : 5 | User: 1 | Local Epoch : 3 | Loss: 0.053 | Acc: 1.000
| Global Round : 5 | User: 1 | Local Epoch : 4 | Loss: 0.115 | Acc: 1.000
